Code,Area name,2010,2011,2012,2013,2014,2015_p,pop_density_diff
E09000002,Barking and Dagenham,"5,064","5,191","5,288","5,393","5,502",5605 ,0.106832543
E09000003,Barnet,"4,051","4,123","4,197","4,256","4,323",4378 ,0.08072081
E09000004,Bexley,"3,808","3,846","3,871","3,911","3,963",4001 ,0.050682773
E09000005,Brent,"7,050","7,242","7,298","7,358","7,439",7514 ,0.065815603
E09000006,Bromley,"2,055","2,072","2,095","2,121","2,144",2167 ,0.054501217
E09000007,Camden,"9,855","10,101","10,324","10,543","10,778",11063 ,0.122577372
E09000008,Croydon,"4,138","4,217","4,264","4,309","4,347",4382 ,0.058965684
E09000009,Ealing,"6,015","6,115","6,140","6,172","6,166",6183 ,0.027930175
E09000010,Enfield,"3,806","3,885","3,926","3,966","4,016",4064 ,0.067787704
E09000011,Greenwich,"5,264","5,397","5,494","5,578","5,676",5806 ,0.102963526
E09000012,Hackney,"12,690","12,997","13,256","13,532","13,835",14143 ,0.114499606
E09000013,Hammersmith and Fulham,"11,029","11,147","10,989","10,918","10,899",10962 ,-0.006074893
E09000014,Haringey,"8,539","8,664","8,778","8,929","9,069",9249 ,0.08314791
E09000015,Harrow,"4,705","4,777","4,814","4,834","4,886",4908 ,0.04314559
E09000016,Havering,"2,103","2,121","2,137","2,158","2,193",2220 ,0.055634807
E09000017,Hillingdon,"2,329","2,387","2,441","2,484","2,535",2579 ,0.107342207
E09000018,Hounslow,"4,452","4,561","4,635","4,695","4,751",4809 ,0.080188679
E09000019,Islington,"13,471","13,909","14,229","14,541","14,901",15350 ,0.139484819
E09000020,Kensington and Chelsea,"13,235","13,086","12,894","12,867","12,916",13041 ,-0.014658104
E09000021,Kingston upon Thames,"4,258","4,307","4,400","4,477","4,562",4658 ,0.093940817
E09000022,Lambeth,"11,102","11,369","11,582","11,733","11,881",12113 ,0.091064673
E09000023,Lewisham,"7,753","7,896","8,027","8,159","8,322",8476 ,0.093254224
E09000024,Merton,"5,293","5,348","5,393","5,419","5,427",5455 ,0.030606461
E09000025,Newham,"8,265","8,617","8,717","8,831","9,000",9234 ,0.117241379
E09000026,Redbridge,"4,876","4,990","5,047","5,112","5,196",5263 ,0.079368335
E09000027,Richmond upon Thames,"3,245","3,267","3,295","3,333","3,372",3392 ,0.045300462
E09000028,Southwark,"9,832","10,026","10,192","10,363","10,505",10725 ,0.090825875
E09000029,Sutton,"4,318","4,368","4,425","4,477","4,528",4574 ,0.059286707
E09000030,Tower Hamlets,"12,563","12,976","13,330","13,829","14,392",14959 ,0.190718777
E09000031,Waltham Forest,"6,545","6,710","6,783","6,866","6,923",7004 ,0.07012987
E09000032,Wandsworth,"8,832","8,998","9,015","9,080","9,127",9197 ,0.041326993
E09000033,Westminster,"10,108","10,219","10,418","10,557","10,857",11277 ,0.11565097
