Code,Area,2010,2011,2012,2013,2014,2015_e,earning_per_hour_diff
00AB,Barking and Dagenham,11.58,11.75,11.98,11.84,11.88,11.89,0.026770294
00AC,Barnet,14.6,15.18,14.72,14.95,14.45,14.37,-0.015753425
00AD,Bexley,13.6,13.82,13.99,13.86,13.69,13.72,0.008823529
00AE,Brent,11.22,11.01,11.94,11.85,12.16,12.05,0.073975045
00AF,Bromley,15.35,15.4,16.28,16.48,16.41,16.44,0.071009772
00AG,Camden,16.36,17.01,17.23,17.96,17.93,16.93,0.034841076
00AH,Croydon,13.61,13.02,13.65,13.49,13.73,13.65,0.002939015
00AJ,Ealing,13.44,13.56,13.47,13.74,13.58,13.14,-0.022321429
00AK,Enfield,12.55,13.05,13.01,12.52,12.83,12.92,0.029482072
00AL,Greenwich,13.79,13.88,13.33,14.31,13.96,14.68,0.064539521
00AM,Hackney,14.13,14.43,14.09,14.35,14.58,14.53,0.028308563
00AN,Hammersmith and Fulham,16.27,16.1,16.78,16.56,16.78,17.46,0.07314075
00AP,Haringey,13.42,13.13,13.63,13.4,13.17,13.42,0
00AQ,Harrow,14.28,13.37,13.53,13.39,14.25,13.84,-0.030812325
00AR,Havering,13.72,14.3,13.95,13.72,13.72,14.45,0.053206997
00AS,Hillingdon,13.57,13.32,14.02,13.95,13.41,13.96,0.028739867
00AT,Hounslow,12.89,12.59,12.74,12.96,12.86,12.98,0.006982157
00AU,Islington,16.31,16.72,16.73,16.6,16.47,16.48,0.010423053
00AW,Kensington and Chelsea,21.51,21.57,18.59,20.07,18.3,18.13,-0.157136216
00AX,Kingston upon Thames,14.95,16.73,16.43,16.87,16.62,16.55,0.107023411
00AY,Lambeth,16.03,15.03,15.43,14.8,14.97,14.72,-0.081721772
00AZ,Lewisham,13.52,13.22,14.02,15.09,14.57,14.72,0.088757396
00BA,Merton,14.96,15.06,14.4,14.65,15.08,14.94,-0.001336898
00BB,Newham,10.99,10.13,10.51,10.96,10.55,10.89,-0.009099181
00BC,Redbridge,14.23,13.9,15.24,14.62,14.39,14.68,0.031623331
00BD,Richmond upon Thames,18.07,19.3,19.26,19.08,18.95,18.32,0.013835086
00BE,Southwark,14.45,14.37,14.82,14.59,14.5,15.37,0.06366782
00BF,Sutton,13.74,13.68,14.38,14.63,14.22,14.5,0.055312955
00BG,Tower Hamlets,15.64,15.28,15.55,15.93,16.16,15.05,-0.037723785
00BH,Waltham Forest,12.88,12.5,12.62,12.39,12.26,12.87,-0.000776398
00BJ,Wandsworth,17.71,17.86,17.53,17.91,17.89,18.13,0.023715415
00BK,Westminster,19.47,18.69,19.36,17.12,17.87,18.4,-0.054956343
