Code,Area,2010,2011,2012,2013,2014,2015_j,job_density_diff
E09000002,Barking and Dagenham,0.44,0.45,0.46,0.44,0.47,0.48,0.090909091
E09000003,Barnet,0.61,0.62,0.65,0.66,0.68,0.68,0.114754098
E09000004,Bexley,0.53,0.53,0.53,0.54,0.53,0.57,0.075471698
E09000005,Brent,0.54,0.53,0.57,0.57,0.6,0.62,0.148148148
E09000006,Bromley,0.61,0.61,0.62,0.64,0.63,0.61,0
E09000007,Camden,1.97,2.06,2.12,2.15,2.25,2.21,0.121827411
E09000008,Croydon,0.58,0.56,0.58,0.53,0.58,0.58,0
E09000009,Ealing,0.55,0.63,0.64,0.65,0.69,0.71,0.290909091
E09000010,Enfield,0.56,0.54,0.57,0.57,0.61,0.63,0.125
E09000011,Greenwich,0.49,0.47,0.46,0.48,0.52,0.51,0.040816327
E09000012,Hackney,0.58,0.63,0.62,0.6,0.69,0.7,0.206896552
E09000013,Hammersmith and Fulham,1.03,1.03,1.09,1.05,1.12,1.16,0.126213592
E09000014,Haringey,0.4,0.41,0.44,0.46,0.48,0.49,0.225
E09000015,Harrow,0.5,0.48,0.5,0.5,0.56,0.55,0.1
E09000016,Havering,0.55,0.55,0.56,0.6,0.59,0.6,0.090909091
E09000017,Hillingdon,1.08,1.11,1.15,1.14,1.15,1.04,-0.037037037
E09000018,Hounslow,0.83,0.85,0.9,0.94,0.91,1.04,0.253012048
E09000019,Islington,1.32,1.29,1.3,1.36,1.39,1.46,0.106060606
E09000020,Kensington and Chelsea,1.11,1.2,1.28,1.27,1.28,1.36,0.225225225
E09000021,Kingston upon Thames,0.78,0.73,0.73,0.72,0.73,0.82,0.051282051
E09000022,Lambeth,0.68,0.66,0.66,0.72,0.76,0.77,0.132352941
E09000023,Lewisham,0.38,0.39,0.4,0.41,0.43,0.4,0.052631579
E09000024,Merton,0.57,0.62,0.65,0.69,0.7,0.7,0.228070175
E09000025,Newham,0.38,0.41,0.44,0.46,0.48,0.48,0.263157895
E09000026,Redbridge,0.43,0.42,0.47,0.45,0.47,0.47,0.093023256
E09000027,Richmond upon Thames,0.68,0.76,0.74,0.76,0.76,0.82,0.205882353
E09000028,Southwark,1.09,1.16,1.25,1.17,1.27,1.28,0.174311927
E09000029,Sutton,0.59,0.62,0.63,0.61,0.61,0.62,0.050847458
E09000030,Tower Hamlets,1.22,1.32,1.3,1.33,1.32,1.37,0.12295082
E09000031,Waltham Forest,0.38,0.4,0.43,0.45,0.46,0.47,0.236842105
E09000032,Wandsworth,0.52,0.55,0.59,0.58,0.57,0.61,0.173076923
E09000033,Westminster,4,4.16,4.26,4.39,4.45,4.42,0.105
